Polyspora axillaris		AF380047									AY214937		AY214930	AF421008								AF380090	AF421058				
Stewartia serrata		AF380060			HM100583			AY070285	AY070303		HM100647		AY070321	AY163736								AF380105					
Camellia nitidissima					GQ487354	GQ487414			GQ487384		GQ487444	GU722485	FJ432194												FJ597757		
Camellia petelotii	AF327514									AB364656	HQ158559	GU722455	FJ432204				HQ158522							AB362886		EU579753	
Camellia chekiangoleosa		HQ427229			HQ427072					AB364655		GU722454	EU579686									HQ427374				EU579685	
Camellia granthamiana		AF380034									HQ158584	GU722471	EU579711				HQ158547					AF380073		AB362883		FJ432168	
Stewartia pseudocamellia		AF380059			HM100575			AY070283	AY070301		HM100639		AF431937		AF528940							AF380104					
Stewartia pteropetiolata		AF380044			HM100529			AY070278	AY070292		HM100596		HM100459	AY163738			HQ158523					AF380087					
Camellia impressinervis	AF315486				GQ487346	GQ487406	AF315487		GQ487376		HQ158590		FJ432178				HQ158553									FJ432177	
Schima superba		AF421103			HM100541						HM100610		HM100443	AF421029			HQ158534					AF380099	AF421073				
Franklinia alatamaha		AF380040			HM100514						AF499805		HM100445	AY163731	HM100351			HM100347				AF380082	HM100319				
Camellia oleifera		GQ436646			GQ435325	GQ487415			GQ487385	AB364667	GQ487445	GU722488	HM061452				HQ158525									HM061438	
Camellia tenuifolia															AY741466			AY741454	AY761233	AY845274	AY845291						
Camellia japonica		AF380035			AY225118					AB364674	AF396225	GU722475	HM061428			AB207875						AF380074	AF130216	AB297451		HM061427	
Camellia furfuracea			EU849053	EU849088	GQ487343	GQ487403			GQ487373	AB443614	HQ158586	GU722468	EU579706		AY741465	AB207872	HQ158549	AY741453	AY761223	AY845277	AY845284						
Camellia sinensis					GQ487359	GQ487419			GQ487389		AY943277	GU722502		AF421034	AY741473	AB306664	HQ158551	AY741461	AY761225	AY845264	AY845286	AF380077	AF421077	AB031281	FJ210643		
