taxon	psbA	5.8S-ribosomal-RNA	rbcL	matK	trnK	rpl32	trnC-ycf6-intergenic-spacer	GBSSI	GBSSI.1	rpoB	rpoC1	
Viburnum propinquum	JQ805381	JQ805227	JQ805465	HQ591614	EF490250	HQ591921	HQ592162	EF490299				
Viburnum punctatum	HQ592091	HQ591973	HQ591757	HQ591616	HQ591806	HQ591923	HQ592164					
Viburnum hebanthum	HQ592076		HQ591729	HQ591587	HQ591795	HQ591895	HQ592138					
Viburnum lutescens		HQ591969	HQ591743	HQ591602	HQ591802	HQ591909	HQ592151					
Viburnum buddleifolium	JQ805295	JQ805152	JQ805389	JX049458	JQ805551	JQ805471	JX049485					
Viburnum ternatum	HQ592102	HQ591981	HQ591772	HQ591632	HQ591813	HQ591939	HQ592179					
Viburnum taiwanianum	JQ805383	EF462989	HQ591771	HQ591631	EF490253	JQ805548	HQ592178					
Viburnum brachyandrum	HQ592063	HQ591953	HQ591707	HQ591563	HQ591786	HQ591870	HQ592114					
Viburnum coriaceum	HQ592071	HQ591960	HQ591717	HQ591572	HQ591792	HQ591881	HQ592125					
Viburnum veitchii	HQ592106	HQ591985	HQ591779	HQ591639	HQ591817	HQ591946						
Viburnum hupehense	HQ592077	HQ591964	HQ591730	HQ591588	HQ591796	HQ591896	HQ592139					
Viburnum atrocyaneum	HQ592059	HQ591950	HQ591703	HQ591559	HQ591782	HQ591866	HQ592110					
Viburnum calvum	HQ592066	HQ591955	HQ591709	HQ591565	HQ591788	HQ591872	HQ592116					
Viburnum cassinoides	HQ592067	HQ591956	HQ591711	HQ591567	HQ591789	HQ591874	HQ592118					
Viburnum elatum	AY627394	AY265124	HQ591721	HQ591578	AY265170	HQ591887		AY596838	AY596882			
Viburnum jamesonii	HQ592080	HQ591966	HQ591732	HQ591591	HQ591798	HQ591898	HQ592142					
Viburnum lautum	HQ592082	HQ591967	HQ591738	HQ591597	HQ591799	HQ591904	HQ592147					
Viburnum cylindricum	JN047493	AY265119	JQ805388	JF956776	AY265165	HQ591883	HQ592127	AY596834	AY596880			
Viburnum burejaeticum	JQ805297	JQ805153	JQ805390	JQ805231	JQ805553	JQ805472	JX049486					
Viburnum stenocalyx	JQ805342	AY265150	JQ805427	HQ591626	AY265196	HQ591933	HQ592173	AY596865	AY596912			
Viburnum schensianum	HQ592094	HQ591975	HQ591763	HQ591622	HQ591808	HQ591929	HQ592169					
Viburnum bitchiuense	JX049467	JX049448	JX049471	JX049451	JX049491	JX049477	JX049481					
Viburnum toronis	JQ805348	HQ591982	JQ805433	HQ591634	HQ591814	JQ805517	HQ592181					
Viburnum ichangense	HQ592078	HQ591965	HQ591731	HQ591589	HQ591797	HQ591897	HQ592140					
Viburnum luzonicum	HQ592085	HQ591970	HQ591744	HQ591603	HQ591803	HQ591910	HQ592152					
Viburnum nervosum	AY627388	AY265118	HQ591716	HQ591571	AY265164	HQ591880	HQ592124	AY596833	AY596879			
Viburnum cinnamomifolium	AY627386	AY265116	JQ805463	HQ591568	AY265162	HQ591877	HQ592121	AY596831				
Viburnum urceolatum	AY627423	AY265155	JQ805468	HQ591637	AY265201	HQ591944		AY596860	AY596903			
Viburnum molle	AY627409	AY265139	HQ591747	HQ591606	AY265185	HQ591913	HQ592154	AY596850	AY596894			
Viburnum hartwegii	AY627400	AY265130		HQ591586	AY265176	HQ591894	HQ592137	AY596863	AY596910			
Viburnum foetidum	JN047511	HQ591963	JQ805457	HQ591584	EF490245	HQ591892	HQ592135	EF490293	EF490304			
Viburnum odoratissimum	JQ805363	AY265141	JQ805451	HQ591609	AY265187	JQ805532	HQ592157	AY596873	AY596918			
Viburnum melanocarpum	AY627408	AY265138	HQ591746	HQ591605	AY265184	HQ591912		AY596849	AY596893			
Viburnum sympodiale	JQ805360	JQ805209	JQ805446	HQ591630	EF490252	JQ805530	HQ592177	EF490301	EF490311			
Viburnum suspensum	AY627419	AY265151	HQ591769	HQ591629	AY265197	HQ591936	HQ592176	AY596857	AY596901			
Viburnum dilatatum	JN047501	AY265122	JF944764	HQ591575	AY265168	HQ591885	HQ592129	AY596836	AY596881			
Viburnum japonicum	AY627401	AY265131	HQ591733	HQ591592	AY265177	JQ805539	HQ592143	AY596843	AY596887			
Viburnum utile	AY627424	AY265156	JF944795	HQ591638	AY265202	HQ591945	HQ592184	AY596861	AY596904			
Viburnum carlesii	AY627385	AY265115	HQ591710	HQ591566	AY265161	HQ591873	HQ592117	AY596830	AY596877			
Viburnum erubescens	AY627397	AY265127	JQ805449	HQ591581	AY265173	HQ591889	HQ592133	AY596872	AY596917			
Viburnum nudum	AY627410	AY265140	HQ591749	HQ591608	AY265186	HQ591915	HQ592156	AY596851	AY596895			
Viburnum clemensae	AY627387	AY265117	HQ591714	HQ591569	AY265163	HQ591878	HQ592122	AY596832	AY596878			
Viburnum mongolicum	HQ592087	EF462985	HQ591748	HQ591607	EF490248	HQ591914	HQ592155	EF490296	EF490307			
Viburnum plicatum		AJ420925	AJ420868	HQ591613		HQ591920	HQ592161	AY596852	AY596896			
Viburnum kansuense	AY627403	AY265133	JQ805392	HQ591594	AY265179	HQ591901	HQ592144	AY596844	AY596888			
Viburnum triphyllum	JQ805353	HQ591984	JQ805439	HQ591636	AY265200	JQ805523	HQ592183	AY596866	AY596913			
Viburnum orientale	HQ592089	EF462986	HQ591753	HQ591612	EF490249	HQ591919	HQ592160	EF490298	EF490309			
Viburnum rafinesquianum	AY627414	AY265145	HQ591758	HQ591617	AY265191	HQ591924	HQ592165	AY596854	AY596898			
Viburnum lobophyllum	AY627407	AY265137	HQ591741	HQ591600	AY265183	HQ591907	HQ592149	AY596848	AY596892			
Viburnum wrightii	JQ805377	HQ591986	HQ591780	HQ591640	HQ591818	JQ805543	HQ592185					
Viburnum macrocephalum	HQ592086	EF462984	HQ591745	HQ591604	EF490247	HQ591911	HQ592153	EF490295	EF490306			
Viburnum lantanoides	AY627405	AY265135	HQ591737	HQ591596	AY265181	HQ591903	HQ592146	AY596846	AY596890			
Viburnum farreri	AY627398	AY265128	HQ591725	HQ591582	AY265174	HQ591890	HQ592134	AY596841	AY596885			
Viburnum erosum	JN047506	AY265126	JQ805455	HQ591580	AY265172	JQ805536	HQ592132	AY596840	AY596884			
Viburnum lantana	JQ805300	JX049450	JQ805391	HQ591595	AY265180	JQ805474	JX049489	AY596845	AY596889			
Viburnum rufidulum	AY627415	AY265147	HQ591761	HQ591620	AY265193	HQ591927	HQ592167	AY596855	AY596899			
Viburnum dentatum	AY627391	AY265121	HQ591718	HQ591574	AY265167	HQ591884	HQ592128	AY596862	AY596905			
Viburnum sieboldii	AY627417	AY265149	AJ420869	HQ591625	AY265195	HQ591932	HQ592172	AY596875	AY596919			
Viburnum rhytidophyllum	JQ805302	AY265146	HQ591759	HQ591618	AY265192	HQ591925	HQ592166					
Viburnum tinus	AY627420	HM563798	JQ805466	HQ591633	HM563802	HQ591940	HQ592180	EF490302				
Viburnum furcatum	JQ805359	AY265129	JQ805444	HQ591585	AY265175	HQ591893	HQ592136	AY596842	AY596886			
Viburnum jucundum	AY627402	AY265132	HQ591734	HQ591593	AY265178	HQ591900		AY596864	AY596911			
Viburnum ellipticum	AY627395	AY265125	HQ591722	HQ591579	AY265171		HQ592131	AY596839	AY596883			
Viburnum setigerum	EF590749	HQ591977	JQ805462	HQ591624	EF490251	HQ591931	HQ592171	EF490300	EF490310	EF590492	EF590666	
Viburnum prunifolium	AY627413	DQ005993	DQ006080	HQ591615	AY265190	HQ591922	HQ592163	AY596853	AY596897			
Viburnum opulus	EU750612	HQ591972	JN893691	HQ591611	HQ591805	HQ591918	HQ592159	EF490297	EF490308	EU749233	EU750374	
Viburnum lentago	AY627406	AY265136	HQ590326	HQ591598	AY265182	HQ591905	HQ592148	AY596847	AY596891	EU749231	EU750372	
Viburnum acerifolium	EU750608	AY236170	EU677067	HQ591557	AY265160	HQ591863	HQ592108	AY596829	AY596876	EU749228	EU750369	
