Diospyros cayennensis	DQ924003			EU980663	EU981078						DQ924113	DQ923896	DQ924220			
Diospyros oubatchensis	EU980958			EU980723	EU981139						EU980897	EU980836	EU981020			
Diospyros castanea	DQ924000			EU980660	EU981075						DQ924110	DQ923893	DQ924217			
Diospyros balansae	EU980937			EU980651	EU981066						EU980877	EU980814	EU980999			
Diospyros pubicalyx	DQ924050			EU980733	EU981148						DQ924160	DQ923943	DQ924267			
Diospyros celebica	DQ924004			EU980664	EU981079						DQ924114	DQ923897	DQ924221			
Diospyros melocarpa	DQ924038			EU980711	EU981126						DQ924148	DQ923931	DQ924255			
Diospyros crassinervis	DQ924008			EU980670	EU981085						DQ924118	DQ923901	DQ924225			
Diospyros flavocarpa	EU980949			EU980689	EU981102						EU980888	EU980826	DQ924237			
Diospyros longifolia	DQ924030			EU980702	EU981117						DQ924140	DQ923923	DQ924247			
Diospyros carbonaria	JQ626407	FJ039390		JQ626229		FJ038258	FJ038507						FJ039274			
Diospyros umbrosa	EU980981			EU980763	EU981176						EU980921	EU980859	EU981045			
Diospyros tetrandra	DQ924058			EU980756	EU981171						DQ924168	DQ923951	DQ924275			
Diospyros labillardierei	DQ924029			EU980701	EU981116						EU980890	EU980829	DQ924246			
Diospyros yaouhensis	EU980992			EU980776	EU981191						EU980930	EU980869	EU981054			
Diospyros cherrieri	EU980942			EU980666	EU981081						EU980881	EU980819	EU981004			
Diospyros filipendula	DQ924019			EU980686	EU981101						DQ924129	DQ923912	DQ924236			
Diospyros tahanensis	DQ924057			EU980755	EU981170						DQ924167	DQ923950	DQ924274			
Diospyros toposia	EU980979			EU980759	EU981174						EU980917	EU980856	EU981041			
Diospyros borbonica	EU980938			EU980654	EU981069						EU980878	EU980815	EU981000			
Diospyros maingayi	DQ924033			EU980706	EU981121						DQ924143	DQ923926	DQ924250			
Diospyros diepenhorstii	DQ924012			EU980675	EU981090						DQ924122	DQ923905	DQ924229			
Diospyros maritima	DQ924037			EU980710	EU981125						DQ924147	DQ923930	DQ924254			
Diospyros styraciformis	DQ924056			EU980753	EU981168						DQ924166	DQ923949	DQ924273			
Diospyros insidiosa	DQ924027			EU980697	EU981112						DQ924137	DQ923920	DQ924244			
Diospyros dasyphylla	DQ924010			EU980672	EU981087						DQ924120	DQ923903	DQ924227			
Diospyros samoensis	EU980973			EU980745	EU981163						EU980911	EU980847	EU981032			
Diospyros guianensis	DQ924026			EU980696	EU981111						DQ924136	DQ923919	DQ924243			
Diospyros consolatae	DQ924006			EU980668	EU981083						DQ924116	DQ923899	DQ924223			
Diospyros dichrophylla	FJ238124		FJ238165	JF265388				FJ238207		FJ238250	FJ238291					
Diospyros gracilipes	DQ924025			EU980695	EU981110						DQ924135	DQ923918	DQ924242			
Diospyros puncticulosa	DQ924051			EU980734	EU981149						DQ924161	DQ923944	DQ924268			
Diospyros undulata	DQ924061			EU980764	EU981179						DQ924171	DQ923954	DQ924278			
Diospyros borneensis	DQ923997			EU980655	EU981070						DQ924107	DQ923890	DQ924214			
Diospyros curranii	DQ924009			EU980671	EU981086						DQ924119	DQ923902	DQ924226			
Diospyros veillonii	EU980984			EU980765	EU981180						EU980922	EU980861	EU981046			
Diospyros parviflora	EU980962			EU980727	EU981143						EU980900	EU980840	EU981025			
Diospyros vieillardii	EU980989			EU980769	EU981184						EU980928	EU980867	EU981052			
Diospyros ropourea	DQ924055			EU980744	EU981159						DQ924165	DQ923948	DQ924272			
Diospyros scalariformis	EU980975			EU980750	EU981165						EU980913	EU980852	EU981037			
Diospyros pustulata	EU980967			EU980736	EU981150						EU980905	EU980844	EU981028			
Diospyros brandisiana	DQ923998			EU980656	EU981071						DQ924108	DQ923891	DQ924215			
Diospyros ferox	DQ924016			EU980681	EU981096						DQ924126	DQ923909	DQ924233			
Diospyros minimifolia	EU980955			EU980714	EU981130						EU980892	EU980832	EU981017			
Diospyros yatesiana	DQ924065			EU980777	EU981192						DQ924175	DQ923958	DQ924282			
Diospyros venosa	EU980985			EU980767	EU981182						EU980923	EU980862	EU981047			
Diospyros vestita	DQ924063			EU980768	EU981183						DQ924173	DQ923956	DQ924280			
Diospyros philippinensis	DQ924047			EU980730	EU981145						DQ924157	DQ923940	DQ924264			
Diospyros brassica	DQ923999			EU980657	EU981072						DQ924109	DQ923892	DQ924216			
Diospyros fasciculosa	EU980945			EU980679	EU981094						EU980884	EU980822	EU981007			
Diospyros cavalcantei	DQ924002			EU980662	EU981077						DQ924112	DQ923895	DQ924219			
Diospyros revolutissima	EU980968			EU980739	EU981154						EU980907	EU980846	EU981030			
Diospyros fragrans	DQ924021			EU980690	EU981105						DQ924131	DQ923914	DQ924238			
Diospyros cauliflora	DQ924001			EU980661	EU981076						DQ924111	DQ923894	DQ924218			
Diospyros frutescens	EU980950			EU980691	EU981106						EU980889	EU980827	EU981012			
Diospyros rigida	DQ924054			EU980743	EU981158						DQ924164	DQ923947	DQ924271			
Diospyros pilosula	DQ924048			EU980731	EU981146						DQ924158	DQ923941	DQ924265			
Diospyros cooperi	DQ924007			EU980669	EU981084						DQ924117	DQ923900	DQ924224			
Diospyros sandwicensis	EU980974			EU980749	EU981164						EU980912	EU980851	EU981036			
Diospyros senensis	EU980976			EU980751	EU981166						EU980914	EU980853	EU981038			
Diospyros artanthifolia	DQ923992			EU980648	EU981063						DQ924102	DQ923885	DQ924209			
Diospyros ridleyi	DQ924053			EU980742	EU981157						DQ924163	DQ923946	DQ924270			
Diospyros wallichii	EU980991			EU980775	EU981190						EU980929	EU980868	EU981053			
Diospyros macrocarpa	EU980953			EU980705	EU981119						EU980891	EU980830	EU981015			
Diospyros bipindensis	DQ923996			EU980653	EU981068						DQ924106	DQ923889	DQ924213			
Diospyros olen	EU980956			EU980721	EU981136						EU980894	EU980834	EU981019			
Diospyros andamanica	DQ923991			EU980645	EU981060						DQ924101	DQ923884	DQ924208			
Diospyros montana	DQ924042			EU980717	EU981132						DQ924152	DQ923935	DQ924259			
Diospyros dictyonema	EU980943			EU980674	EU981089						EU980882	EU980820	EU981005			
Diospyros buxifolia	EU980939			EU980658	EU981073						EU980879	EU980816	EU981001			
Diospyros capreifolia	FJ037902	FJ039389		JQ626100		FJ038257	FJ038506						FJ039325			
Diospyros dichroa	DQ924011			EU980673	EU981088						DQ924121	DQ923904	DQ924228			
Diospyros pancheri	EU980961			EU980725	EU981140						EU980899	EU980838	EU981023			
Royena cordata	DQ924084			EU980799	EU981214						DQ924192	DQ923975	DQ924301			
Maba magnifolia	DQ924082			EU980796	EU981211						DQ924190	DQ923973	DQ924299			
Maba myriophylla	DQ924083			EU980797	EU981212						DQ924191	DQ923974	DQ924300			
Maba tropophylla	EU980997			EU980798	EU981213						EU980935	EU980875	EU981059			
Diospyros texana	DQ924060			EU980758	EU981173						DQ924170	DQ923953	DQ924277	AF174622		
Diospyros confertiflora	DQ924005			EU980667	EU981082						DQ924115	DQ923898	DQ924222	AB175003		
Diospyros rhombifolia	DQ924052			EU980741	EU981156						DQ924162	DQ923945	DQ924269	AB175018		
Diospyros ferrea	EU980946			EU980683	EU981098						DQ924127	EU980823	DQ924234	DQ499075		
Diospyros glandulosa	DQ924023			EU980693	EU981108						DQ924133	DQ923916	DQ924240	AB175006		
Diospyros sumatrana	EU980978			EU980754	EU981169						EU980916	EU980855	EU981040	AB175020		
Diospyros ehretioides	DQ924014			EU980678	EU981093						DQ924124	DQ923907	DQ924231	AB175005		
Diospyros glaucifolia	DQ924024			EU980694	EU981109						DQ924134	DQ923917	DQ924241	FJ624405		
Diospyros mollis	DQ924041			EU980716	EU981131						DQ924151	DQ923934	DQ924258	AB175015		
Diospyros lotus	DQ924031			EU980703	EU981118						DQ924141	DQ923924	DQ924248	AB175013		
Royena lycioides	FJ238128		FJ238169	JF265389				FJ238211		FJ238254	FJ238295					
Euclea racemosa	FJ238120		FJ238160					FJ238202		FJ238245	FJ238287				JQ412361	
Diospyros australis	DQ923994			EU980650	EU981065			FJ238214		FJ238257	DQ924104	DQ923887	DQ924211			
Royena lucida	FJ238130		FJ238171	Z83134				FJ238213		FJ238256	FJ238296		AF396213			
Diospyros tetrasperma	DQ924059		FJ238194	EU980757	EU981172			FJ238237		FJ238280	DQ924169	DQ923952	DQ924276			
Diospyros ebenum	EU980944		FJ238196	EU980677	EU981092			FJ238239		FJ238282	EU980883	EU980821	EU981006			
Diospyros kaki		GQ435761			EU981113		GQ436192	AB115399		AB115365	DQ924138	DQ923921	AJ430874	FJ624403		
Diospyros mespiliformis	DQ924039		FJ238173	EU980712	EU981127			FJ238216		FJ238259	DQ924149	DQ923932	DQ924256			
Diospyros pseudomespilus	DQ924049		FJ238188	EU980732	EU981147			FJ238231		FJ238274	DQ924159	DQ923942	DQ924266			
Diospyros bejaudii	DQ923995	AM890006		EU980652	EU981067	GQ248769	AM889883				DQ924105	DQ923888	DQ924212			
Diospyros squarrosa	EU980977		FJ238191	EU980752	EU981167			FJ238234		FJ238277	EU980915	EU980854	EU981039			
Diospyros natalensis	DQ924043		FJ238174	EU980718	EU981133			FJ238217		FJ238260	DQ924153	DQ923936	DQ924260			
Diospyros abyssinica	DQ923990		FJ238185	EU980646	EU981061			FJ238228		FJ238271	DQ924100	DQ923883	DQ924207			
Diospyros mannii	DQ924036		FJ238180	EU980709	EU981124			FJ238223		FJ238266	DQ924146	DQ923929	DQ924253			
Royena glabra	DQ924085		FJ238167	EU980800	EU981215			FJ238209		FJ238252	DQ924193	DQ923976	DQ924302			
Euclea crispa	DQ924073		FJ238156	EU980789	EU981204			FJ238198		FJ238241	DQ924183	DQ923966	DQ924290			
Lissocarpa guianensis	DQ924078		FJ238155	EU980794	EU981209			FJ238197	AF421012	FJ238240	DQ924188	DQ923970	DQ924295			
Diospyros digyna	DQ924013		FJ238195	EU980676	EU981091			FJ238238	AF421002	FJ238281	AF213731	DQ923906	DQ924230			
Diospyros virginiana	DQ924064		FJ238184	EU980774	EU981189			FJ238227		FJ238270	DQ924174	DQ923957	DQ924281	AB175021		
Euclea natalensis	DQ924075		FJ238158	EU980791	EU981206			FJ238200		FJ238243	DQ924185	DQ923968	DQ924292		JF265419	
Euclea divinorum	FJ238117		FJ238157	EU980790	EU981205			FJ238199		FJ238242	DQ924184	DQ923967	DQ924291		JF265418	
Euclea undulata	FJ238122		FJ238163	EU980792	EU981207			FJ238205		FJ238248	DQ924186	EU980874	DQ924293		JQ025046	
