Whipplea modesta					JF308696	JF321118	AF323199	JF321191	JF321266				AJ400894	JF298858				
Philadelphus mexicanus					JF308694	JF321116	JF308661	JF321189	JF321264				JF321091	JF298856				
Philadelphus californicus					JF308695	JF321117	JF308662	JF321190	JF321265				JF321092	JF298857				
Deutzia rubens					U96884	AY260034	AF323196	JF321175	JF321250		AY285691		AJ400892	AJ400886				
Hydrangea bretschneideri					JF308690	JF321112	JF308659	JF321186	JF321261	HM216969			JF321087	JF298854				
Hydrangea peruviana					JF308703	JF321115	AF323204	JF321185	JF321260	HM216985			JF321090	JF298853				
Jamesia americana					JF308697	AY260042	AF323201	JF321192	JF321267	HM216998			JF321093	JF298859				
Carpenteria californica					GU226264	JF321105	L11177	JF321173	JF321248	HM216960			AF130217	AJ235426	AJ235992			
Cardiandra alternifolia					JF308682	AY260040	AB236031	JF321204	JF321247	HM216959			JF321080	JF298846			AB236038	
Kirengeshoma palmata					JQ399971	JF321119	JQ399975	JF321193	JQ399986	EU701049	EU701026		AJ400896	JQ399965			EU701059	
Schizophragma hydrangeoides				GU983038	U96883	AF297543	AF323189	JF321196	JF321271	HM217001	JN226779		JF321095	JF298863				
Hydrangea integrifolia	HE983472	HE983412			GU217302					HE983392		HE983592						
Hydrangea seemannii	HE983479	HE983419			GU217303					HE983399		HE983599						
Hydrangea angustipetala	HE983468	HE983408			GU217336					HE983388		HE983588						
Hydrangea involucrata	HE983473	HE983413			GU217290					HE983393		HE983593						
Hydrangea sargentiana	HE983478	HE983418			GU217293					HE983398		HE983598						
Schizophragma molle	HE983483	HE983423			GU217279					HE983403		HE983603						
Hydrangea quercifolia	HE983477	HE983417			GU217284		AF323203			HM216987		HE983597						
Philadelphus pekinensis	HE983464	HE983404			GU217268					HE983384	AY285737	HE983584						
Hydrangea aspera	HE983471	AJ430990		JF976654	AJ429277		JF941959			HE983391		HE983591						
Hydrangea luteovenosa	HE983474	HE983414		GU983034	AB754588		AB755676			HM216982	JN226775	HE983594						
Hydrangea anomala	HE983469	HE983409		JF976650	GU369710		AF323202			HM216965		HE983589						
Hydrangea paniculata	HE983476	AB237321			AB236029		AB236036			HQ427003	X85796	HE983596					AB236044	
Deinanthe bifida	HE983465	HE983405			GU217271	JF321110	AF323192	JF321179	JF321254	HM216962			JF321084	JF298850			AB236043	
Platycrater arguta	HE983481	HE983421			JF308700	AY260033	AF323190	JF321195	JF321270	EU515277		HE983601	AJ400895	JF298862				
Pileostegia viburnoides	HE983482	HE983422			GU369713	JF321120	AF323185	JF321194	JF321269	HM216999		HE983602	JF321094	JF298861				
Hydrangea serrata	HE983480	HE983420			AB754586	JF321113	AB755674	JF321187	JF321262	HE983400	JN226776	HE983600	JF321088	JF298855				
Decumaria barbara	HE983466	HE983406			GU369707	JF321106	AF190444	JF321174	JF321249	HM216961		HE983586	AJ236252	AJ236233	AJ235985			
Dichroa febrifuga	HE983467	HE983407	GQ436056	FJ980367	GU217316	JF321111	AF323187	JF321180	JF321255	HE983387		HE983587	JF321085	JF298851				
Hydrangea arborescens	HE983470	HE983410		DQ006012	JF308692	AY260032	AF323186	JF321184	JF321259	HM216966		HE983590	JF321089	JF298852				
Hydrangea macrophylla	HE983475	HE983415	GQ248955		AB236030	JF321114	AB755637	JF321183	JF321258	EF590702		HE983595	AF130218	AJ235497	U42781	GQ248793	AB236045	
