Noronhia broomeana	AM931522											AM933079	AM933223		AM933426							
Noronhia longipedicellata	AM931527											AM933084	AM933228		AM933431							
Noronhia incurvifolia	AM931529											AM933086	AM933230		AM933433							
Fraxinus apertisquamifera			HM367388					HM222743			HQ705358					HM242453			EU314824			
Fraxinus raibocarpa			HM367533								HQ705533						EU284165		EU314884	EU284160		
Fraxinus lanuginosa			HM367447					HM222801			HQ705426					HM242517			EU314857			
Fraxinus trifoliolata			HM367565					HM222891			HQ705570					HM242622			HQ705301			
Fraxinus paxiana			HM367510					HM222848			HQ705505					HM242564			EU314873			
Fraxinus papillosa			HM367507					HM222847			HQ705502					HM242561			EU314871			
Fraxinus guilinensis			HM367437					HM222793			HQ705413					HM242503			HQ705233			
Fraxinus obliqua			HM367499					HM222841			HQ705484					HM242552			HQ705255			
Fraxinus texensis			HM367558					HM222886			HQ705562					HM242616			EU314891			
Fraxinus caroliniana			HM367398					HM222758			HQ705374					HM242465			EU314831			
Fraxinus uhdei			HM367570					HM222895			HQ705572					HM242626			EU314895			
Fraxinus gooddingii			HM367427					HM222786			HQ705401					HM242492			EU314852			
Fraxinus micrantha			HM367496					HM222837			HQ705480					HM242549			EU314866			
Fraxinus floribunda			HM367424					HM222784			HQ705399					HM242490			EU314850			
Fraxinus griffithii			HM367434					HM222792			HQ705412					HM242499			HQ705232			
Osmanthus minor							GQ294660	GQ294681	GQ294715										HM999673	GU450316		
Osmanthus suavis							GQ294653	GQ294669	GQ294698						EU409430				EU009482			
Osmanthus attenuatus							GQ294664	GQ294666							EU669876				EF362768	GU450314		
Schrebera alata				DQ673300											JF270928		AF225288	DQ673274		AF231878		
Jasminum humile														HQ853397	EU281182		AF225247		AF534818	AF231838		
Olea brachiata												AM933078	AM933222		AM933425		AF225273			AF231864		
Chionanthus virginicus				DQ673309						AM398049							AF225220	DQ673283		AF231812		
Chionanthus ramiflorus							GQ294643	GQ294687	GQ294692								AF225218			HQ117892		
Syringa wolfii													JN590974		JN590994			JN591033	AF361284	JN591012		
Syringa villosa													JN590985		JN591004			JN591044	AF277760	JN591023		
Syringa emodi													JN590975		JN590995			AF130228	AF277761	JN591013		
Syringa patula													JN590978		JN590997			JN591037	AF277758	JN591016		
Syringa pubescens													JN590981		JN591000			JN591040	AF277747	JN591019		
Osmanthus delavayi							GQ294656	GQ294676	GQ294697						EU409436				EF362767	GU450324		
Osmanthus henryi							GQ294649	GQ294672	GQ294701						EU409434				EF362766	EU659987		
Osmanthus fordii							GQ294659	GQ294679	GQ294712						EU409440				EF362764	GU450319		
Osmanthus matsumuranus							GQ294657	GQ294683	GQ294713						EU409435				EF362770	GU450317		
Osmanthus yunnanensis							GQ294650	GQ294690	GQ294700						EU409439				EF362760	GU450318		
Osmanthus reticulatus							GQ294663	GQ294684	GQ294711						EU409438				EF362765	GU450322		
Osmanthus venosus							GQ294647	GQ294674	GQ294707						EU409433				EF362762	GU450323		
Osmanthus marginatus							GQ294658	GQ294682	GQ294714						EU409432				HM999672	GU450315		
Osmanthus armatus							GQ294646	GQ294675	GQ294708						EU409431				EF362769	EU659982		
Osmanthus didymopetalus							GQ294648	GQ294671	GQ294702						GQ176869				GU395609	GU450325		
Osmanthus serrulatus							GQ294645	GQ294670	GQ294699						EU409427				EF199709	EU659988		
Jasminum mesnyi				DQ673296										HQ853396			AF225248	DQ673267		AF231839		
Olea paniculata	AM931518											AM933075	AM933218		AM933422		AF225276			AF231867		
Ligustrum compactum				JF830486									JN590972		JN590992			JN591030	AF361292	JN591010		
Ligustrum sinense			GU135317	HQ644051											GU134986		AF225256		AB610495	AF231847		
Ligustrum japonicum				JF830477		FN668858						AB634833			JF830553				JF830406			
Ligustrum lindleyi								JN591057					JN590987		JN591006			JN591046	AF361293	JN591025		
Ligustrum ovalifolium				JF830462						AM398054					JF830537		AF225254		JF830396	AF231845		
Syringa pinnatifolia								JN591056					JN590984		JN591003			JN591043	AF297081	JN591022		
Syringa oblata								JN591052					JN590976		JN590996			JN591035	AF361290	JN591014		
Syringa reflexa								JN591058					JN590990		JN591008			JN591049	AF361282	JN591028		
Fraxinus dipetala			HM367416					HM222777			HQ705391					HM242482	AF225237		EU314840	AF231829		
Fraxinus greggii			HM367433					HM222789			HQ705408					HM242495	AF225239		EU314854	AF231831		
Fraxinus bungeana			HM367395			GU991683		HM222755			HQ705370				HM171516	HM242463			EU314829			
Fraxinus platypoda		U82877	HM367521					HM222855			HQ705524					HM242579			EU314877		U82876	
Fraxinus cuspidata		U82917	HM367413					HM222773			HQ705389					HM242480			EU314839		U82916	
Picconia excelsa			EU854418	DQ673314			GU929881	GU929888									AF225285	DQ673288		AF231876		
Jasminum fluminense	AF159695		GU135345	GU135177											GU135014		AF225246		GQ478093	AF231837		
Forsythia suspensa		GQ434618		GQ436541	GQ436086										FJ263956		AF225231		AF534808	EU281157		
Syringa microphylla	EF622225							JN591054					JN590982		JN591001			JN591039	AF277754	JN591020		
Syringa reticulata								JN591053					JN590979		JN590998		AF225291	JN591038	AF297078	JN591017		
Abeliophyllum distichum				DQ673292						AM398045					EU281166		AF225216	DQ673262	AF534803	EU281150		
Phillyrea angustifolia			HE966732	DQ673312	FN689632					AM398053					HE967458		AF225282	DQ673286		AF231873		
Fraxinus retusa			HM367534		HM130651	GU991708		HM222870			HQ705536				HM171504	HM242592			HQ705280			
Fraxinus berlandieriana			HM367389		HM130623	GU991681		HM222751			HQ705365				HM171521	HM242458			EU314825			
Fraxinus profunda			HM367529		HM130648	GU991705		HM222865			HQ705528				HM171508	HM242583			HQ705276			
Fraxinus holotricha			HM367438		HM130635	GU991691		HM222796			HQ705415				HM171517	HM242507			HQ705237			
Osmanthus americanus				DQ673311			GU929880	GU929894							EU409424		AF225277	DQ673285	EF362761	AF231868		
Osmanthus cooperi				HQ427188			GQ294662	GQ294678	GQ294706						HQ427336				EF362772	EU659984		
Ligustrum lucidum		GQ434619	GU135318	JF830485		FN668857						AB634834			JF830558				JF830347			
Ligustrum sempervirens				JF830410				JN591059					JN590991		JF830489		AF225255	JN591050	JF830383	JN591029		
Fraxinus anomala		U82915	HM367380					HM222739			HQ705353					HM242448	AF225234		EU314822	AF231826	U82914	
Fraxinus spaethiana			HM367557			GU991712		HM222885			HQ705561				HM171520	HM242615	EU284166		EU314890	EU284161		
Fraxinus biltmoreana		U82911	HM367392		HM130625	GU991682		HM222752			HQ705367				HM171519	HM242460					U82910	
Fraxinus xanthoxyloides			HM367582		HM130660	GU991721		HM222913			HQ705590				HM171526	HM242643	AF225242		EU314900			
Fraxinus angustifolia			HM367376	FJ862055	HM130652	GU991709		HM222734			HQ705351				HM171527	HM242428			EU314817			
Fraxinus chiisanensis			HM367399		HM130627			HM222759			HQ705376				HM171501	HM242467	EU284162		EU314833	EU284157		
Fraxinus sieboldiana			HM367541		HM130640	GU991696		HM222873			HQ705479				HM171494	HM242598			EU314886	EU281162		
Fraxinus velutina		U82905	HM367575		HM130659	GU991720		HM222907			HQ705579				HM171488	HM242637			EU314897		U82904	
Fraxinus longicuspis		U82891	HM367482		HM130638	GU991693		HM222828			HQ705466				HM171502	HM242537			EU314861		U82888	
Fraxinus tomentosa		U82899	HM367564		HM130656	GU991715		HM222890			HQ705565				HM171510	HM242620			HQ705300		U82898	
Fraxinus mandshurica		U82875	HM367495		HM130639	GU991694		HM222832			HQ705469				HM171500	HM242541			EU314864		U82874	
Fraxinus latifolia		U82913	HM367470		HM130637	GU991692		HM222820			HQ705453				HM171515	HM242527			EU314860		U82912	
Nestegis sandwicensis	AM931525			DQ673305			GU929885	GU929893				AM933082	AM933226		AM933429		AF225266	DQ673279		AF231857		
Noronhia emarginata	AM931526			DQ673307			GU929886	GU929895				AM933083	AM933227		AM933430		AF225267	DQ673281		AF231858		
Fraxinus quadrangulata		U82883	HM367531		HM130650	GU991706		HM222866							HM171523	HM242590	AF225241		EU314882	AF231833	U82880	
Fontanesia phillyreoides				HQ384902	FN689629					HQ385093					HQ384545		AF225226		AF534816	AF231818		
Phillyrea latifolia	FM208236			FJ862063	FN689631		GQ294639	GQ294688	GQ294691			FM208228	FM208244		FM208252		AF225283		EU314905	AF231874		
Fraxinus chinensis		U82885	HM367408	DQ673301	HM130629	GU991685		HM222768			HQ705385				HM171509	HM242471		DQ673275	EU314837		U82884	
Osmanthus heterophyllus	FM208238						GQ294644	GQ294673	GQ294704	AM398052		FM208230	FM208246		HM751209		AF225279		HM751204	GU450321		
Osmanthus fragrans	FM208237						GQ414998	GQ415002	GQ414994			FM208229	FM208245	HQ853400	EU409428		AF225278		EU314904	AF231869		
Fraxinus nigra		U82879	HM367498		HM130642	GU991698		HM222839			HQ705483				HQ593300	HM242550	EU284163		EU314868	EU284158	U82878	
Fraxinus ornus	X76822	U82893	HM367501	FJ862057	HM130645	GU991701		HM222843			HQ705490				HM171495	HM242554	AF225240		EU314869	AF231832	U82892	
Fraxinus americana	X76819	U82909	HM367364	HQ590102	HM130621	GU991679		HM222717			HQ705330				JN590993	HM242423	AF225233		EU314812	AF231825	U82906	
Fraxinus pennsylvanica		U82903	HM367512	HQ590104	HM130646	GU991704	GQ294638	HM222851	GQ294694		HQ705510				HQ593301	HM242567	EU284164		EU314875	EU284159	U82902	
Olea europaea	AM931501		HE966718	HE963570	FN689633		HQ241937	HQ241938		AM398051		AY040811			HQ619821		AJ431047	DQ673278		HQ117895		
Ligustrum vulgare	AM931524			L11686	FJ395854	FN668856				HQ385090		AM933081	AM933225	HQ853399	AM933428		AF225257	AF130164	AF361298	AF231848		
Syringa vulgaris		U82919	HE966838	DQ673303	HQ594152					AM398055			JN590989	AY524007	HQ593463		AF225292	DQ673277	EU314902	AF231882		
Fraxinus excelsior	AM931523	U82865	HM367419	FJ862056	HM130634	GU991689		HM222782		AM398048	HM242668	AM933080	AM933224		AM933427	DQ679533	AY911666	JN591031	EU314847	AF231830	U82866	
